uid,caption,image_path
054f5d553228464eadffb2531ac98d88,"A small pond with rocks, water, and a person in it.",data/processed/images/054f5d553228464eadffb2531ac98d88.png
9eb2ebeeec984945aba1d5ee555d1bd3,White pillow.,data/processed/images/9eb2ebeeec984945aba1d5ee555d1bd3.png
6d2619d6b8bb4a999d2689730c19e3d9,A Virgin Airlines Boeing 737-800 airplane in red and white.,data/processed/images/6d2619d6b8bb4a999d2689730c19e3d9.png
2d022097ba1e422183fb67982a997730,"A white, rectangular vertical structure with a square flange near its base is mounted on a large, flat, tan, corrugated surface with an indented L-shaped mark.",data/processed/images/2d022097ba1e422183fb67982a997730.png
3b63269c27024f29868b8f94c9930419,A copper faucet.,data/processed/images/3b63269c27024f29868b8f94c9930419.png
ba3e18813f8f46599df8c0ec0d7f0141,"A wall-mounted torch with a broad metal backplate, a tapered handle, and a roughly shaped flame or flame holder on top.",data/processed/images/ba3e18813f8f46599df8c0ec0d7f0141.png
d269ac34e0d046b5ac12f60e01f1ab5b,A two-piece object featuring a curved base with an extended flat arm and a vertical support structure at one end.,data/processed/images/d269ac34e0d046b5ac12f60e01f1ab5b.png
0f9eb978adb448468e07cc12b7598a78,White cube floating against a black background.,data/processed/images/0f9eb978adb448468e07cc12b7598a78.png
eeb0b6bb2e484f1e9e78b415d20b97b2,"A floor lamp with a round base, a slender curved stand, a conical lampshade, and a pull-chain switch.",data/processed/images/eeb0b6bb2e484f1e9e78b415d20b97b2.png
c691871429fa4a449d193adb7ccf2590,"A rectangular wooden cabinet with a central open square space, featuring beige panel doors on the front and dark hinges on the edges.",data/processed/images/c691871429fa4a449d193adb7ccf2590.png
daf8c294ed0e4e3cb32693ec25b3f2d3,A rectangular box with a recessed display containing a detailed miniature castle inside.,data/processed/images/daf8c294ed0e4e3cb32693ec25b3f2d3.png
b6e98bf8dc30427d80aa21d133c7587f,"Bright green humanoid figure in various martial arts stances, wearing partial black body stockings on the limbs.",data/processed/images/b6e98bf8dc30427d80aa21d133c7587f.png
0205eaa99a39490d87725040c9117a80,A tall tower resembling the CN Tower and Eiffel Tower in Minecraft.,data/processed/images/0205eaa99a39490d87725040c9117a80.png
02264d5b98504031a6d0fb1042cce9b6,"A layered rectangular structure featuring teal panels, beige grid-like supports, and openings in the center and corners.",data/processed/images/02264d5b98504031a6d0fb1042cce9b6.png
5c8ae35ee77544ea88819b5498a60e69,A white barrel or cylinder.,data/processed/images/5c8ae35ee77544ea88819b5498a60e69.png
2e6e4de8d0a440ab8671bf4b2342a1c7,"A wooden treasure chest with a lock, teeth inside the lid, and multiple human legs extending from its bottom.",data/processed/images/2e6e4de8d0a440ab8671bf4b2342a1c7.png
7fd99f98be0f4764beed24a89b3bb9ca,"A two-story wooden house featuring a staircase, a flat white roof, and a surrounding balcony on the upper floor.",data/processed/images/7fd99f98be0f4764beed24a89b3bb9ca.png
a504f0507b4645ffa211d8f58d8a4c0a,An old wooden-framed window with a broken glass pane.,data/processed/images/a504f0507b4645ffa211d8f58d8a4c0a.png
fca82168a3524fa0ac6e5745ff19b30e,"A belt-fed machine gun with a wooden stock and grip, featuring an attached ammunition box.",data/processed/images/fca82168a3524fa0ac6e5745ff19b30e.png
086be6485e5d4c1a8b7084a2c8b0b28c,"A silver metal cylinder with writing, featuring a hole and resembling a pipe, ring, or tin can.",data/processed/images/086be6485e5d4c1a8b7084a2c8b0b28c.png
ced556e784c245888c3cd26304dfb208,"A simplified turret with a white angular body and a long green barrel, mounted on a green quadruped base with flat feet.",data/processed/images/ced556e784c245888c3cd26304dfb208.png
7c76613677284ceb85b625b4e74dd98d,"Two stylized human heads with different colored hair: one has light green hair tied in a ponytail, and the other has short pink hair with a small tuft.",data/processed/images/7c76613677284ceb85b625b4e74dd98d.png
98d55cbd14774ad4b88ad3b137271643,"A historical-style gown featuring a fitted bodice with puffed sleeves, a ruffled neckline, and a full, flowing skirt in shades of gold, green, and orange, with decorative trim.",data/processed/images/98d55cbd14774ad4b88ad3b137271643.png
fca229ccbbc441f79e0e58adb142f973,"A collection of various headphones and earphones, including over-ear, on-ear, and in-ear styles, some with attached cables and some with microphone attachments.",data/processed/images/fca229ccbbc441f79e0e58adb142f973.png
f6d84b0ec5054863ba8a38b541735dc2,A cupcake on a square plate.,data/processed/images/f6d84b0ec5054863ba8a38b541735dc2.png
70a1175c9f9448c2982460fec3028d4a,"A symmetrical ornamental design with three blue teardrop-shaped elements bordered by gold, connected by gold outlines, and accented with black circular details.",data/processed/images/70a1175c9f9448c2982460fec3028d4a.png
9c7fe47a8a3948f8b539503b4fc4b062,A modern multi-level structure with an overhanging roof and an open rectangular lower section.,data/processed/images/9c7fe47a8a3948f8b539503b4fc4b062.png
